FL_DATE,FLIGHT_CANCELLATION_AND_DELAY_COMBINED_RATE,DATE,STATION,NAME,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT10,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
1/25/2011 12:00:00 AM,23.106796116504853,2011-01-25,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5.82,340.0,0.02,0.3,2.0,,35.0,24.0,14.1,17.0,1.0,,,,,,,,,,,,,,,1.0,,,
1/26/2011 12:00:00 AM,61.196911196911195,2011-01-26,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14.09,1920.0,0.61,6.0,2.0,,34.0,25.0,40.9,49.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,
1/27/2011 12:00:00 AM,81.78506375227687,2011-01-27,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13.2,233.0,0.38,4.3,12.0,,37.0,26.0,23.9,31.1,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,1.0
1/28/2011 12:00:00 AM,27.17391304347826,2011-01-28,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4.7,1623.0,0.01,0.2,11.0,,35.0,23.0,12.1,14.1,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,
1/29/2011 12:00:00 AM,12.009803921568627,2011-01-29,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8.05,1626.0,0.01,0.3,10.0,,34.0,23.0,16.1,17.9,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,
1/30/2011 12:00:00 AM,6.772908366533865,2011-01-30,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8.72,2307.0,0.0,0.0,9.0,,39.0,24.0,21.0,25.1,,,,,,,,,,,,,,,,,,,
1/31/2011 12:00:00 AM,15.34195933456562,2011-01-31,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7.83,57.0,0.0,0.0,9.0,,32.0,20.0,17.0,21.9,,,,,,,,,,,,,,,,,,,
2/1/2011 12:00:00 AM,67.63565891472868,2011-02-01,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11.18,1503.0,0.07,0.5,9.0,,33.0,25.0,19.9,23.0,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,
2/2/2011 12:00:00 AM,64.47876447876448,2011-02-02,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12.08,2011.0,0.69,0.0,8.0,,39.0,27.0,30.0,38.0,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,
2/3/2011 12:00:00 AM,31.636363636363637,2011-02-03,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14.99,808.0,0.0,0.0,7.0,,34.0,24.0,30.0,34.9,,,,,,,,,,,,,,,,,,,
2/4/2011 12:00:00 AM,23.09090909090909,2011-02-04,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12.08,1314.0,0.0,0.0,6.0,,33.0,20.0,23.0,25.9,,,,,,,,,,,,,,,,,,,
