"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-15","10.51","0.00","0.0","7.1","34","35","32","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-16","16.78","0.74","0.0","3.1","41","49","34","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-17","12.30","0.00","0.0","2.0","31","34","23",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-18","12.08","0.68","4.3","1.2","28","29","24","    1","    1",,"    1",,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-19","11.18","0.06","0.7","5.1","30","33","28","    1",,,,,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-20","16.78","0.00","0.0","5.1","31","34","27",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-21","11.41","0.00","0.0","5.1","29","36","23",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-22","12.30","0.58","0.4","3.9","33","38","29","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-23","12.75","0.00","0.0","2.0","37","45","34",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-24","13.42","0.00","0.0","1.2","41","49","32",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-25","15.88","0.00","0.0","0.0","45","50","34",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-26","10.29","0.00","0.0","0.0","39","45","32",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-27","12.30","0.43","0.0","0.0","43","52","39","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-28","8.05","0.25","0.0","0.0","42","47","37","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-01","14.99","0.15","0.0","0.0","44","49","33","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-02","20.58","0.00","0.0","0.0","31","35","22",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-03","11.86","0.00","0.0","0.0","38","53","29",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-04","18.57","0.00","0.0","0.0","42","45","27",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-05","21.70","0.00","0.0","0.0","31","38","24",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-06","16.11","0.00","0.0","0.0","34","37","27",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-07","13.65","0.00","0.0","0.0","33","42","28",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-08","9.40","0.00","0.0","0.0","34","44","24",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-09","12.08","0.00","0.0","0.0","47","66","35",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-10","8.50","0.00","0.0","0.0","45","51","33",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-11","8.95","0.00","0.0","0.0","47","57","42","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-12","14.99","0.00","0.0","0.0","57","70","45",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-13","18.12","0.00","0.0","0.0","46","53","33",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-14","21.25","0.00","0.0","0.0","46","55","30",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-15","18.34","0.00","0.0","0.0","32","39","24",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-16","7.38","0.01","0.0","0.0","31","37","27",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-17","5.82","0.00","0.0","0.0","38","47","34",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-18","10.07","0.64","0.0","0.0","44","46","42","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-19","19.91","0.08","0.0","0.0","39","43","32",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-20","7.61","0.00","0.0","0.0","40","52","31",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-21","3.80","0.00","0.0","0.0","44","58","33",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-22","6.49","0.00","0.0","0.0","45","57","34","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-23","7.61","0.00","0.0","0.0","49","62","42","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-24","11.86","0.69","0.0","0.0","51","58","44","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-25","7.61","0.02","0.0","0.0","53","64","49","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-26","20.13","0.00","0.0","0.0","57","81","49","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-27","12.53","0.00","0.0","0.0","57","65","48",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-28","12.75","0.79","0.0","0.0","51","59","47","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-29","19.91","0.00","0.0","0.0","51","56","41",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-30","13.20","0.00","0.0","0.0","47","56","34",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-03-31","15.66","0.70","0.0","0.0","51","59","48","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-01","20.36","0.03","0.0","0.0","49","57","38","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-02","15.66","0.00","0.0","0.0","36","38","29",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-03","11.41","0.00","0.0","0.0","39","52","31",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-04","6.93","0.00","0.0","0.0","48","57","39",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-05","18.57","0.00","0.0","0.0","56","70","47",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-06","11.18","0.00","0.0","0.0","58","70","46",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-07","7.16","0.00","0.0","0.0","57","67","46",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-08","6.93","0.00","0.0","0.0","53","63","44",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-09","6.26","0.00","0.0","0.0","48","51","44","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-10","4.92","0.06","0.0","0.0","53","62","48","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-11","10.96","0.44","0.0","0.0","54","60","48","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-12","9.17","0.49","0.0","0.0","48","52","45","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-13","8.72","0.06","0.0","0.0","51","64","43",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-14","9.62","0.00","0.0","0.0","54","64","45",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-15","10.07","0.82","0.0","0.0","53","56","45","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-16","12.53","0.09","0.0","0.0","47","53","39","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-17","9.17","0.00","0.0","0.0","48","57","43",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-18","9.62","0.00","0.0","0.0","53","61","47",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-19","7.16","0.00","0.0","0.0","54","63","45",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-20","15.43","0.00","0.0","0.0","56","67","45",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-21","21.47","0.07","0.0","0.0","54","60","39","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-22","21.25","0.00","0.0","0.0","42","50","36",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-23","15.88","0.00","0.0","0.0","49","64","39",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-24","11.41","0.00","0.0","0.0","56","68","44",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-25","12.53","0.50","0.0","0.0","54","64","49","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-26","19.01","0.00","0.0","0.0","53","61","41",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-27","6.04","0.00","0.0","0.0","53","57","45",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-28","5.82","0.00","0.0","0.0","58","73","50",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-29","8.50","0.10","0.0","0.0","60","66","54","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-04-30","24.83","0.02","0.0","0.0","64","69","46",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-01","18.12","0.00","0.0","0.0","53","65","42",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-02","11.41","0.00","0.0","0.0","61","79","52",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-03","8.28","0.23","0.0","0.0","63","67","54","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-04","9.62","0.52","0.0","0.0","58","71","51","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-05","8.05","0.31","0.0","0.0","54","59","51","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-06","12.97","0.00","0.0","0.0","58","67","50",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-07","9.62","0.00","0.0","0.0","55","62","48",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-08","7.61","0.04","0.0","0.0","51","55","49",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-09","10.51","0.42","0.0","0.0","52","62","45","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-10","10.07","0.01","0.0","0.0","52","61","47","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-11","14.09","0.00","0.0","0.0","57","67","50",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-12","13.65","0.00","0.0","0.0","57","70","47",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-13","10.07","0.00","0.0","0.0","59","68","48",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-14","9.62","0.00","0.0","0.0","61","73","50",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-15","8.72","0.00","0.0","0.0","62","75","49",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-16","8.28","0.00","0.0","0.0","62","70","53",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-17","8.28","0.00","0.0","0.0","62","73","49",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-18","11.41","0.00","0.0","0.0","65","79","55",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-19","8.72","0.00","0.0","0.0","72","86","59",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-20","7.16","0.00","0.0","0.0","64","72","55",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-21","8.50","0.00","0.0","0.0","61","75","53",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-22","9.62","0.00","0.0","0.0","73","94","58",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-23","16.11","0.00","0.0","0.0","82","92","68",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-24","11.86","0.00","0.0","0.0","66","68","58",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-25","14.99","0.00","0.0","0.0","61","68","56",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-26","11.18","0.07","0.0","0.0","66","75","60","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-27","13.20","0.04","0.0","0.0","75","85","65",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-28","15.21","1.08","0.0","0.0","64","70","49","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-29","17.90","0.86","0.0","0.0","49","52","48","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-30","12.75","0.94","0.0","0.0","49","52","47","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-05-31","8.95","0.00","0.0","0.0","56","71","49","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-01","10.29","0.00","0.0","0.0","62","76","52",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-02","8.05","0.00","0.0","0.0","63","70","56",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-03","6.93","0.23","0.0","0.0","62","71","59","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-04","7.61","0.39","0.0","0.0","65","75","61","    1","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-05","10.51","0.00","0.0","0.0","72","87","62","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-06","10.29","0.00","0.0","0.0","78","87","68",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-07","6.93","0.00","0.0","0.0","73","81","66",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-08","6.71","0.57","0.0","0.0","72","85","66","    1",,"    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-09","8.28","0.00","0.0","0.0","78","91","70","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-10","13.87","0.00","0.0","0.0","76","81","62",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-11","8.28","0.00","0.0","0.0","65","71","61",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-12","7.61","0.00","0.0","0.0","66","69","59",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-13","9.62","0.00","0.0","0.0","65","72","58",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-14","10.74","0.06","0.0","0.0","66","71","63","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-15","11.63","0.07","0.0","0.0","72","83","66","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-16","13.65","0.00","0.0","0.0","71","78","63",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-17","10.07","0.00","0.0","0.0","69","77","57",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-18","12.97","0.00","0.0","0.0","69","79","59",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-19","11.63","0.05","0.0","0.0","74","89","65",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-20","10.51","0.00","0.0","0.0","73","83","64",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-21","14.54","0.00","0.0","0.0","74","81","68","    1",,,,,,,
